id,name,ingredients
1,Spaghetti Bolognese,pasta ground_meat tomatoes onions garlic cooking_oils herbs
2,Chicken Stir Fry,poultry bell_peppers root_vegetables cruciferous_vegetables asian_sauces ginger garlic long_grain_rice
3,Vegetable Curry,potatoes cruciferous_vegetables root_vegetables frozen_vegetables cooking_oils curry_powder onions garlic long_grain_rice
4,Caesar Salad,lettuce baking_goods parmesan_cheese sauces poultry
5,Mushroom Risotto,risotto_rice mushrooms onions garlic cooking_oils vegetable_broth parmesan_cheese
6,Beef Tacos,ground_meat flatbread lettuce tomatoes cheddar_cheese cultured_cream condiments
7,Greek Salad,cucumbers tomatoes onions feta_cheese cooking_oils citrus_fruits herbs
8,Vegetable Lasagna,pasta summer_squash leafy_greens ricotta_cheese mozzarella_cheese tomatoes
9,Grilled Salmon,fish citrus_fruits herbs cooking_oils garlic
10,Chicken Parmesan,poultry baking_goods parmesan_cheese mozzarella_cheese tomatoes pasta
11,Beef Stir Fry,beef_cuts cruciferous_vegetables root_vegetables onions asian_sauces ginger garlic long_grain_rice
12,Caprese Salad,tomatoes mozzarella_cheese herbs cooking_oils vinegars
13,Vegetable Soup,root_vegetables celery onions potatoes tomatoes vegetable_broth herbs
14,Shrimp Scampi,shellfish pasta garlic butter cooking_oils citrus_fruits herbs
15,Beef Stroganoff,beef_cuts mushrooms onions cultured_cream beef_broth egg_pasta
16,Vegetable Fried Rice,long_grain_rice root_vegetables frozen_vegetables onions eggs asian_sauces garlic ginger
17,Chicken Fajitas,poultry bell_peppers onions flatbread cultured_cream cheddar_cheese condiments
18,Eggplant Parmesan,eggplant tomatoes mozzarella_cheese parmesan_cheese herbs
19,Tuna Salad,canned_fish condiments celery onions citrus_fruits
20,Spinach and Feta Quiche,eggs leafy_greens feta_cheese onions baking_goods milk
